sample_id,intent,slots_json,linearized_input,reference_response,is_edge_case
165,delivery_delay,"{""order_id"": ""7744"", ""eta"": ""5 May"", ""cause"": ""weather disruption""}",intent=delivery_delay order_id=7744 eta=5 May cause=weather disruption,Order 7744 is delayed and is now expected on 5 May because of weather disruption.,True
227,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""reversed"", ""amount"": ""₹799"", ""method"": ""pickup"", ""transaction_id"": ""TXN55521""}",intent=payment_status order_id=2481 payment_status=reversed amount=₹799 method=pickup transaction_id=TXN55521,Payment for order 2481 is reversed for ₹799 via pickup and transaction id is TXN55521.,True
125,return_request,"{""order_id"": ""2481"", ""item"": ""running shoes"", ""reason"": ""damaged item""}",intent=return_request order_id=2481 item=running shoes reason=damaged item,I created a return request for running shoes under order 2481 because damaged item.,True
187,delivery_delay,"{""order_id"": ""5630"", ""eta"": ""5 May"", ""cause"": ""carrier issue"", ""compensation"": ""you are eligible for free shipping next time""}",intent=delivery_delay order_id=5630 eta=5 May cause=carrier issue compensation=you are eligible for free shipping next time,Your order 5630 will arrive by 5 May because of carrier issue; you are eligible for free shipping next time.,True
303,refund_status,"{""refund_id"": ""RF1001"", ""order_id"": ""7744"", ""refund_status"": ""pending"", ""date"": ""today"", ""method"": ""drop-off""}",intent=refund_status refund_id=RF1001 order_id=7744 refund_status=pending date=today method=drop-off,Refund RF1001 has been marked as pending for order 7744 on today.,True
297,refund_status,"{""refund_id"": ""RF1010"", ""order_id"": ""9812"", ""refund_status"": ""processed"", ""amount"": ""₹1,249"", ""method"": ""drop-off""}","intent=refund_status refund_id=RF1010 order_id=9812 refund_status=processed amount=₹1,249 method=drop-off","Refund RF1010 has been marked as processed for order 9812 for ₹1,249.",True
117,return_request,"{""order_id"": ""2481"", ""item"": ""wireless mouse"", ""reason"": ""late delivery"", ""method"": ""drop-off"", ""return_id"": ""RET2035""}",intent=return_request order_id=2481 item=wireless mouse reason=late delivery method=drop-off return_id=RET2035,I created a return request for wireless mouse under order 2481 because late delivery via drop-off.,True
26,order_status,"{""order_id"": ""2481"", ""status"": ""out for delivery"", ""carrier"": ""BlueDart""}",intent=order_status order_id=2481 status=out for delivery carrier=BlueDart,The status of order 2481 is out for delivery.,True
6,order_status,"{""order_id"": ""1234"", ""status"": ""delivered"", ""carrier"": ""FedEx""}",intent=order_status order_id=1234 status=delivered carrier=FedEx,Your order 1234 is delivered.,True
314,refund_status,"{""refund_id"": ""RF1010"", ""order_id"": ""2481"", ""refund_status"": ""pending"", ""amount"": ""₹799"", ""date"": ""today""}",intent=refund_status refund_id=RF1010 order_id=2481 refund_status=pending amount=₹799 date=today,Refund RF1010 has been marked as pending for order 2481 for ₹799 on today.,True
273,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""7744"", ""refund_status"": ""processed""}",intent=refund_status refund_id=RF1002 order_id=7744 refund_status=processed,Refund RF1002 has been marked as processed for order 7744.,True
47,order_status,"{""order_id"": ""2481"", ""status"": ""delivered"", ""date"": ""3 May"", ""tracking_id"": ""TRK2033""}",intent=order_status order_id=2481 status=delivered date=3 May tracking_id=TRK2033,Order 2481 has been delivered on 3 May.,True
83,cancel_order,"{""order_id"": ""7744"", ""reason"": ""duplicate order"", ""refund_status"": ""completed"", ""date"": ""today""}",intent=cancel_order order_id=7744 reason=duplicate order refund_status=completed date=today,Order 7744 has been cancelled because duplicate order; refund status is completed.,False
94,cancel_order,"{""order_id"": ""7744"", ""reason"": ""duplicate order"", ""refund_status"": ""approved"", ""date"": ""today""}",intent=cancel_order order_id=7744 reason=duplicate order refund_status=approved date=today,I have cancelled order 7744 because duplicate order; refund status is approved.,False
158,return_request,"{""order_id"": ""9812"", ""item"": ""phone case and coffee maker"", ""reason"": ""duplicate order"", ""method"": ""mail-in"", ""return_id"": ""RET2011""}",intent=return_request order_id=9812 item=phone case and coffee maker reason=duplicate order method=mail-in return_id=RET2011,Your return request for phone case and coffee maker from order 9812 is confirmed because duplicate order via mail-in.,True
210,delivery_delay,"{""order_id"": ""7744"", ""eta"": ""5 May"", ""cause"": ""high demand"", ""carrier"": ""FedEx""}",intent=delivery_delay order_id=7744 eta=5 May cause=high demand carrier=FedEx,Your order 7744 will arrive by 5 May because of high demand.,True
79,cancel_order,"{""order_id"": ""7744"", ""reason"": ""late delivery"", ""date"": ""3 May""}",intent=cancel_order order_id=7744 reason=late delivery date=3 May,Order 7744 has been cancelled because late delivery.,True
64,cancel_order,"{""order_id"": ""1234"", ""reason"": ""wrong size"", ""refund_status"": ""completed"", ""date"": ""1 May""}",intent=cancel_order order_id=1234 reason=wrong size refund_status=completed date=1 May,The cancellation request for order 1234 is complete because wrong size; refund status is completed.,False
320,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""5630"", ""refund_status"": ""approved"", ""method"": ""mail-in""}",intent=refund_status refund_id=RF1002 order_id=5630 refund_status=approved method=mail-in,Refund RF1002 has been marked as approved for order 5630.,True
91,cancel_order,"{""order_id"": ""7744"", ""reason"": ""damaged item""}",intent=cancel_order order_id=7744 reason=damaged item,I have cancelled order 7744 because damaged item.,True
207,delivery_delay,"{""order_id"": ""7744"", ""eta"": ""tomorrow evening"", ""cause"": ""high demand""}",intent=delivery_delay order_id=7744 eta=tomorrow evening cause=high demand,The delivery for order 7744 has been delayed until tomorrow evening because of high demand.,True
250,payment_status,"{""order_id"": ""5630"", ""payment_status"": ""reversed"", ""amount"": ""₹499"", ""method"": ""pickup"", ""transaction_id"": ""TXN77881"", ""date"": ""3 May""}",intent=payment_status order_id=5630 payment_status=reversed amount=₹499 method=pickup transaction_id=TXN77881 date=3 May,Payment for order 5630 is reversed for ₹499 via pickup and transaction id is TXN77881.,False
176,delivery_delay,"{""order_id"": ""2481"", ""eta"": ""2 May"", ""carrier"": ""Delhivery"", ""compensation"": ""you are eligible for free shipping next time""}",intent=delivery_delay order_id=2481 eta=2 May carrier=Delhivery compensation=you are eligible for free shipping next time,Order 2481 is delayed and is now expected on 2 May; you are eligible for free shipping next time.,True
301,refund_status,"{""refund_id"": ""RF1044"", ""order_id"": ""5630"", ""refund_status"": ""pending"", ""amount"": ""₹799""}",intent=refund_status refund_id=RF1044 order_id=5630 refund_status=pending amount=₹799,The refund status for order 5630 is pending for ₹799.,True
174,delivery_delay,"{""order_id"": ""1234"", ""eta"": ""5 May"", ""cause"": ""logistics delay"", ""carrier"": ""DHL""}",intent=delivery_delay order_id=1234 eta=5 May cause=logistics delay carrier=DHL,Order 1234 is delayed and is now expected on 5 May because of logistics delay.,True
56,cancel_order,"{""order_id"": ""7744"", ""reason"": ""late delivery"", ""refund_status"": ""approved"", ""date"": ""today""}",intent=cancel_order order_id=7744 reason=late delivery refund_status=approved date=today,Order 7744 has been cancelled because late delivery; refund status is approved.,False
34,order_status,"{""order_id"": ""1234"", ""status"": ""out for delivery"", ""date"": ""1 May""}",intent=order_status order_id=1234 status=out for delivery date=1 May,Order 1234 has been out for delivery on 1 May.,True
102,cancel_order,"{""order_id"": ""9812"", ""reason"": ""late delivery"", ""date"": ""today""}",intent=cancel_order order_id=9812 reason=late delivery date=today,The cancellation request for order 9812 is complete because late delivery.,True
166,delivery_delay,"{""order_id"": ""9812"", ""eta"": ""2 May"", ""cause"": ""carrier issue"", ""carrier"": ""BlueDart""}",intent=delivery_delay order_id=9812 eta=2 May cause=carrier issue carrier=BlueDart,Order 9812 is delayed and is now expected on 2 May because of carrier issue.,True
178,delivery_delay,"{""order_id"": ""1234"", ""eta"": ""2 May"", ""carrier"": ""DHL""}",intent=delivery_delay order_id=1234 eta=2 May carrier=DHL,The delivery for order 1234 has been delayed until 2 May.,True
43,order_status,"{""order_id"": ""2481"", ""status"": ""packed"", ""date"": ""2 May"", ""carrier"": ""BlueDart""}",intent=order_status order_id=2481 status=packed date=2 May carrier=BlueDart,Order 2481 has been packed on 2 May.,True
305,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""1234"", ""refund_status"": ""completed""}",intent=refund_status refund_id=RF1002 order_id=1234 refund_status=completed,The refund status for order 1234 is completed.,True
259,payment_status,"{""order_id"": ""1234"", ""payment_status"": ""pending"", ""amount"": ""₹799 / ₹799"", ""transaction_id"": ""TXN55521"", ""date"": ""3 May""}",intent=payment_status order_id=1234 payment_status=pending amount=₹799 / ₹799 transaction_id=TXN55521 date=3 May,Order 1234 has a pending payment of ₹799 / ₹799 and transaction id is TXN55521.,True
46,order_status,"{""order_id"": ""5630"", ""status"": ""shipped"", ""date"": ""today"", ""carrier"": ""FedEx"", ""tracking_id"": ""TRK1001""}",intent=order_status order_id=5630 status=shipped date=today carrier=FedEx tracking_id=TRK1001,Order 5630 has been shipped on today.,False
304,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""5630"", ""refund_status"": ""approved"", ""amount"": ""₹2,999""}","intent=refund_status refund_id=RF1002 order_id=5630 refund_status=approved amount=₹2,999","Refund RF1002 has been marked as approved for order 5630 for ₹2,999.",True
173,delivery_delay,"{""order_id"": ""1234"", ""eta"": ""tomorrow""}",intent=delivery_delay order_id=1234 eta=tomorrow,The delivery for order 1234 has been delayed until tomorrow.,True
293,refund_status,"{""refund_id"": ""RF1044"", ""order_id"": ""9812"", ""refund_status"": ""completed"", ""amount"": ""₹499"", ""date"": ""3 May"", ""method"": ""drop-off""}",intent=refund_status refund_id=RF1044 order_id=9812 refund_status=completed amount=₹499 date=3 May method=drop-off,Refund RF1044 for order 9812 is completed for ₹499 on 3 May.,False
58,cancel_order,"{""order_id"": ""9812"", ""reason"": ""late delivery""}",intent=cancel_order order_id=9812 reason=late delivery,I have cancelled order 9812 because late delivery.,True
17,order_status,"{""order_id"": ""5630"", ""status"": ""packed"", ""date"": ""1 May"", ""carrier"": ""DHL""}",intent=order_status order_id=5630 status=packed date=1 May carrier=DHL,Order 5630 has been packed on 1 May.,True
77,cancel_order,"{""order_id"": ""1234"", ""reason"": ""duplicate order"", ""refund_status"": ""pending"", ""date"": ""today""}",intent=cancel_order order_id=1234 reason=duplicate order refund_status=pending date=today,I have cancelled order 1234 because duplicate order; refund status is pending.,False
110,return_request,"{""order_id"": ""5630"", ""item"": ""phone case"", ""reason"": ""late delivery"", ""pickup_date"": ""3 May"", ""return_id"": ""RET2011""}",intent=return_request order_id=5630 item=phone case reason=late delivery pickup_date=3 May return_id=RET2011,A return has been created for phone case in order 5630 because late delivery; pickup is scheduled for 3 May.,True
8,order_status,"{""order_id"": ""2481"", ""status"": ""shipped"", ""date"": ""1 May"", ""carrier"": ""Delhivery"", ""tracking_id"": ""TRK1001""}",intent=order_status order_id=2481 status=shipped date=1 May carrier=Delhivery tracking_id=TRK1001,Order 2481 has been shipped on 1 May.,False
76,cancel_order,"{""order_id"": ""9812"", ""reason"": ""change of mind"", ""refund_status"": ""pending""}",intent=cancel_order order_id=9812 reason=change of mind refund_status=pending,I have cancelled order 9812 because change of mind; refund status is pending.,True
78,cancel_order,"{""order_id"": ""7744"", ""reason"": ""wrong size"", ""date"": ""3 May""}",intent=cancel_order order_id=7744 reason=wrong size date=3 May,The cancellation request for order 7744 is complete because wrong size.,True
289,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""9812"", ""refund_status"": ""completed""}",intent=refund_status refund_id=RF1002 order_id=9812 refund_status=completed,Refund RF1002 has been marked as completed for order 9812.,True
285,refund_status,"{""refund_id"": ""RF1044"", ""order_id"": ""9812"", ""refund_status"": ""completed"", ""date"": ""2 May""}",intent=refund_status refund_id=RF1044 order_id=9812 refund_status=completed date=2 May,Refund RF1044 for order 9812 is completed on 2 May.,True
246,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""failed"", ""amount"": ""₹1,249"", ""method"": ""mail-in""}","intent=payment_status order_id=2481 payment_status=failed amount=₹1,249 method=mail-in","Payment for order 2481 is failed for ₹1,249 via mail-in.",True
4,order_status,"{""order_id"": ""7744"", ""status"": ""shipped"", ""tracking_id"": ""TRK1001""}",intent=order_status order_id=7744 status=shipped tracking_id=TRK1001,Order 7744 has been shipped.,True
120,return_request,"{""order_id"": ""2481"", ""item"": ""blue shirt"", ""reason"": ""duplicate order""}",intent=return_request order_id=2481 item=blue shirt reason=duplicate order,A return has been created for blue shirt in order 2481 because duplicate order.,True
105,cancel_order,"{""order_id"": ""5630"", ""reason"": ""wrong size"", ""refund_status"": ""completed"", ""date"": ""today""}",intent=cancel_order order_id=5630 reason=wrong size refund_status=completed date=today,I have cancelled order 5630 because wrong size; refund status is completed.,False
232,payment_status,"{""order_id"": ""9812"", ""payment_status"": ""failed"", ""amount"": ""₹499"", ""date"": ""today""}",intent=payment_status order_id=9812 payment_status=failed amount=₹499 date=today,The payment status of order 9812 is failed for ₹499.,True
61,cancel_order,"{""order_id"": ""5630"", ""reason"": ""duplicate order"", ""refund_status"": ""approved""}",intent=cancel_order order_id=5630 reason=duplicate order refund_status=approved,Order 5630 has been cancelled because duplicate order; refund status is approved.,True
95,cancel_order,"{""order_id"": ""5630"", ""reason"": ""duplicate order"", ""refund_status"": ""processed"", ""date"": ""1 May""}",intent=cancel_order order_id=5630 reason=duplicate order refund_status=processed date=1 May,The cancellation request for order 5630 is complete because duplicate order; refund status is processed.,False
266,payment_status,"{""order_id"": ""7744"", ""payment_status"": ""successful"", ""amount"": ""₹799"", ""transaction_id"": ""TXN77881"", ""date"": ""1 May""}",intent=payment_status order_id=7744 payment_status=successful amount=₹799 transaction_id=TXN77881 date=1 May,Order 7744 has a successful payment of ₹799 and transaction id is TXN77881.,True
74,cancel_order,"{""order_id"": ""1234"", ""reason"": ""wrong size"", ""refund_status"": ""pending"", ""date"": ""3 May""}",intent=cancel_order order_id=1234 reason=wrong size refund_status=pending date=3 May,I have cancelled order 1234 because wrong size; refund status is pending.,False
182,delivery_delay,"{""order_id"": ""5630"", ""eta"": ""2 May"", ""carrier"": ""BlueDart"", ""compensation"": ""a refund adjustment may apply""}",intent=delivery_delay order_id=5630 eta=2 May carrier=BlueDart compensation=a refund adjustment may apply,Order 5630 is delayed and is now expected on 2 May; a refund adjustment may apply.,True
18,order_status,"{""order_id"": ""2481"", ""status"": ""confirmed"", ""carrier"": ""BlueDart""}",intent=order_status order_id=2481 status=confirmed carrier=BlueDart,Your order 2481 is confirmed.,True
25,order_status,"{""order_id"": ""1234"", ""status"": ""confirmed"", ""carrier"": ""BlueDart""}",intent=order_status order_id=1234 status=confirmed carrier=BlueDart,Order 1234 has been confirmed.,True
147,return_request,"{""order_id"": ""5630"", ""item"": ""wireless mouse and wireless mouse"", ""reason"": ""damaged item""}",intent=return_request order_id=5630 item=wireless mouse and wireless mouse reason=damaged item,I created a return request for wireless mouse and wireless mouse under order 5630 because damaged item.,True
263,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""successful"", ""amount"": ""₹799"", ""method"": ""drop-off""}",intent=payment_status order_id=2481 payment_status=successful amount=₹799 method=drop-off,Order 2481 has a successful payment of ₹799 via drop-off.,True
280,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""7744"", ""refund_status"": ""processed"", ""date"": ""2 May""}",intent=refund_status refund_id=RF1002 order_id=7744 refund_status=processed date=2 May,The refund status for order 7744 is processed on 2 May.,True
225,payment_status,"{""order_id"": ""5630"", ""payment_status"": ""reversed"", ""amount"": ""₹1,249"", ""transaction_id"": ""TXN55521""}","intent=payment_status order_id=5630 payment_status=reversed amount=₹1,249 transaction_id=TXN55521","Payment for order 5630 is reversed for ₹1,249 and transaction id is TXN55521.",True
240,payment_status,"{""order_id"": ""1234"", ""payment_status"": ""reversed"", ""amount"": ""₹499""}",intent=payment_status order_id=1234 payment_status=reversed amount=₹499,The payment status of order 1234 is reversed for ₹499.,True
229,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""failed"", ""amount"": ""₹499"", ""transaction_id"": ""TXN12345"", ""date"": ""3 May""}",intent=payment_status order_id=2481 payment_status=failed amount=₹499 transaction_id=TXN12345 date=3 May,Order 2481 has a failed payment of ₹499 and transaction id is TXN12345.,True
322,refund_status,"{""refund_id"": ""RF1044"", ""order_id"": ""2481"", ""refund_status"": ""processed""}",intent=refund_status refund_id=RF1044 order_id=2481 refund_status=processed,Refund RF1044 for order 2481 is processed.,True
115,return_request,"{""order_id"": ""9812"", ""item"": ""phone case"", ""reason"": ""wrong size"", ""method"": ""drop-off"", ""return_id"": ""RET2035""}",intent=return_request order_id=9812 item=phone case reason=wrong size method=drop-off return_id=RET2035,I created a return request for phone case under order 9812 because wrong size via drop-off.,True
85,cancel_order,"{""order_id"": ""7744"", ""reason"": ""duplicate order"", ""refund_status"": ""completed"", ""date"": ""3 May""}",intent=cancel_order order_id=7744 reason=duplicate order refund_status=completed date=3 May,I have cancelled order 7744 because duplicate order; refund status is completed.,False
211,delivery_delay,"{""order_id"": ""7744"", ""eta"": ""tomorrow evening"", ""cause"": ""carrier issue"", ""compensation"": ""a refund adjustment may apply""}",intent=delivery_delay order_id=7744 eta=tomorrow evening cause=carrier issue compensation=a refund adjustment may apply,Order 7744 is delayed and is now expected on tomorrow evening because of carrier issue; a refund adjustment may apply.,True
247,payment_status,"{""order_id"": ""7744"", ""payment_status"": ""reversed"", ""amount"": ""₹499"", ""method"": ""mail-in"", ""transaction_id"": ""TXN55521"", ""date"": ""today""}",intent=payment_status order_id=7744 payment_status=reversed amount=₹499 method=mail-in transaction_id=TXN55521 date=today,Order 7744 has a reversed payment of ₹499 via mail-in and transaction id is TXN55521.,False
32,order_status,"{""order_id"": ""2481"", ""status"": ""delivered"", ""date"": ""1 May"", ""tracking_id"": ""TRK9999""}",intent=order_status order_id=2481 status=delivered date=1 May tracking_id=TRK9999,Order 2481 has been delivered on 1 May.,True
219,payment_status,"{""order_id"": ""5630"", ""payment_status"": ""pending"", ""amount"": ""₹799"", ""transaction_id"": ""TXN77881"", ""date"": ""today""}",intent=payment_status order_id=5630 payment_status=pending amount=₹799 transaction_id=TXN77881 date=today,Order 5630 has a pending payment of ₹799 and transaction id is TXN77881.,True
186,delivery_delay,"{""order_id"": ""5630"", ""eta"": ""tomorrow"", ""compensation"": ""a refund adjustment may apply""}",intent=delivery_delay order_id=5630 eta=tomorrow compensation=a refund adjustment may apply,The delivery for order 5630 has been delayed until tomorrow; a refund adjustment may apply.,True
311,refund_status,"{""refund_id"": ""RF1010"", ""order_id"": ""1234"", ""refund_status"": ""processed"", ""date"": ""2 May"", ""method"": ""drop-off""}",intent=refund_status refund_id=RF1010 order_id=1234 refund_status=processed date=2 May method=drop-off,Refund RF1010 for order 1234 is processed on 2 May.,True
223,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""failed"", ""amount"": ""₹2,999"", ""method"": ""mail-in"", ""transaction_id"": ""TXN55521"", ""date"": ""3 May""}","intent=payment_status order_id=2481 payment_status=failed amount=₹2,999 method=mail-in transaction_id=TXN55521 date=3 May","Order 2481 has a failed payment of ₹2,999 via mail-in and transaction id is TXN55521.",False
270,payment_status,"{""order_id"": ""5630"", ""payment_status"": ""failed"", ""amount"": ""₹799""}",intent=payment_status order_id=5630 payment_status=failed amount=₹799,The payment status of order 5630 is failed for ₹799.,True
141,return_request,"{""order_id"": ""9812"", ""item"": ""phone case"", ""reason"": ""change of mind"", ""method"": ""pickup"", ""pickup_date"": ""3 May""}",intent=return_request order_id=9812 item=phone case reason=change of mind method=pickup pickup_date=3 May,Your return request for phone case from order 9812 is confirmed because change of mind via pickup; pickup is scheduled for 3 May.,True
60,cancel_order,"{""order_id"": ""9812"", ""reason"": ""late delivery"", ""refund_status"": ""completed"", ""date"": ""today""}",intent=cancel_order order_id=9812 reason=late delivery refund_status=completed date=today,Order 9812 has been cancelled because late delivery; refund status is completed.,False
317,refund_status,"{""refund_id"": ""RF1001"", ""order_id"": ""5630"", ""refund_status"": ""approved"", ""date"": ""1 May""}",intent=refund_status refund_id=RF1001 order_id=5630 refund_status=approved date=1 May,Refund RF1001 has been marked as approved for order 5630 on 1 May.,True
7,order_status,"{""order_id"": ""5630"", ""status"": ""confirmed"", ""date"": ""1 May"", ""tracking_id"": ""TRK2033""}",intent=order_status order_id=5630 status=confirmed date=1 May tracking_id=TRK2033,Order 5630 has been confirmed on 1 May.,True
200,delivery_delay,"{""order_id"": ""1234"", ""eta"": ""tomorrow evening"", ""cause"": ""logistics delay"", ""compensation"": ""a refund adjustment may apply""}",intent=delivery_delay order_id=1234 eta=tomorrow evening cause=logistics delay compensation=a refund adjustment may apply,Order 1234 is delayed and is now expected on tomorrow evening because of logistics delay; a refund adjustment may apply.,True
31,order_status,"{""order_id"": ""1234"", ""status"": ""packed"", ""tracking_id"": ""TRK2033""}",intent=order_status order_id=1234 status=packed tracking_id=TRK2033,The status of order 1234 is packed.,True
23,order_status,"{""order_id"": ""9812"", ""status"": ""packed"", ""carrier"": ""Delhivery"", ""tracking_id"": ""TRK9999""}",intent=order_status order_id=9812 status=packed carrier=Delhivery tracking_id=TRK9999,Your order 9812 is packed.,True
276,refund_status,"{""refund_id"": ""RF1001"", ""order_id"": ""7744"", ""refund_status"": ""completed""}",intent=refund_status refund_id=RF1001 order_id=7744 refund_status=completed,The refund status for order 7744 is completed.,True
249,payment_status,"{""order_id"": ""7744"", ""payment_status"": ""successful"", ""amount"": ""₹2,999"", ""transaction_id"": ""TXN90812"", ""date"": ""1 May""}","intent=payment_status order_id=7744 payment_status=successful amount=₹2,999 transaction_id=TXN90812 date=1 May","Payment for order 7744 is successful for ₹2,999 and transaction id is TXN90812.",True
57,cancel_order,"{""order_id"": ""2481"", ""reason"": ""change of mind"", ""refund_status"": ""pending"", ""date"": ""2 May""}",intent=cancel_order order_id=2481 reason=change of mind refund_status=pending date=2 May,The cancellation request for order 2481 is complete because change of mind; refund status is pending.,False
169,delivery_delay,"{""order_id"": ""9812"", ""eta"": ""5 May"", ""cause"": ""weather disruption"", ""compensation"": ""a coupon has been issued""}",intent=delivery_delay order_id=9812 eta=5 May cause=weather disruption compensation=a coupon has been issued,Your order 9812 will arrive by 5 May because of weather disruption; a coupon has been issued.,True
199,delivery_delay,"{""order_id"": ""7744"", ""eta"": ""7 May"", ""compensation"": ""a coupon has been issued""}",intent=delivery_delay order_id=7744 eta=7 May compensation=a coupon has been issued,Your order 7744 will arrive by 7 May; a coupon has been issued.,True
262,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""reversed"", ""amount"": ""₹2,999"", ""date"": ""1 May""}","intent=payment_status order_id=2481 payment_status=reversed amount=₹2,999 date=1 May","Payment for order 2481 is reversed for ₹2,999.",True
82,cancel_order,"{""order_id"": ""5630"", ""reason"": ""duplicate order"", ""date"": ""1 May""}",intent=cancel_order order_id=5630 reason=duplicate order date=1 May,I have cancelled order 5630 because duplicate order.,True
149,return_request,"{""order_id"": ""9812"", ""item"": ""wireless mouse"", ""reason"": ""change of mind"", ""pickup_date"": ""tomorrow"", ""return_id"": ""RET2011""}",intent=return_request order_id=9812 item=wireless mouse reason=change of mind pickup_date=tomorrow return_id=RET2011,I created a return request for wireless mouse under order 9812 because change of mind; pickup is scheduled for tomorrow.,True
40,order_status,"{""order_id"": ""7744"", ""status"": ""delivered"", ""tracking_id"": ""TRK1001""}",intent=order_status order_id=7744 status=delivered tracking_id=TRK1001,Order 7744 has been delivered.,True
224,payment_status,"{""order_id"": ""7744"", ""payment_status"": ""reversed"", ""amount"": ""₹2,999"", ""method"": ""pickup""}","intent=payment_status order_id=7744 payment_status=reversed amount=₹2,999 method=pickup","The payment status of order 7744 is reversed for ₹2,999 via pickup.",True
307,refund_status,"{""refund_id"": ""RF1002"", ""order_id"": ""7744"", ""refund_status"": ""pending"", ""method"": ""pickup""}",intent=refund_status refund_id=RF1002 order_id=7744 refund_status=pending method=pickup,The refund status for order 7744 is pending.,True
185,delivery_delay,"{""order_id"": ""9812"", ""eta"": ""tomorrow evening"", ""cause"": ""carrier issue"", ""compensation"": ""a coupon has been issued""}",intent=delivery_delay order_id=9812 eta=tomorrow evening cause=carrier issue compensation=a coupon has been issued,Order 9812 is delayed and is now expected on tomorrow evening because of carrier issue; a coupon has been issued.,True
154,return_request,"{""order_id"": ""7744"", ""item"": ""running shoes"", ""reason"": ""late delivery"", ""method"": ""drop-off""}",intent=return_request order_id=7744 item=running shoes reason=late delivery method=drop-off,I created a return request for running shoes under order 7744 because late delivery via drop-off.,True
